Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    

schnorrsig_sign                    ,     7.57      ,     7.60      ,     7.64   
schnorrsig_verify                  ,    15.2       ,    15.3       ,    15.5    
batchverify_schnorrsigs_1          ,    17.8       ,    17.9       ,    18.1    
batchverify_schnorrsigs_2          ,    15.6       ,    15.8       ,    15.9    
batchverify_schnorrsigs_3          ,    14.7       ,    14.8       ,    14.8    
batchverify_schnorrsigs_4          ,    14.4       ,    14.4       ,    14.4    
batchverify_schnorrsigs_5          ,    14.1       ,    14.1       ,    14.2    
batchverify_schnorrsigs_7          ,    13.9       ,    13.9       ,    13.9    
batchverify_schnorrsigs_9          ,    13.6       ,    13.7       ,    13.8    
batchverify_schnorrsigs_11         ,    13.7       ,    13.8       ,    13.8    
batchverify_schnorrsigs_14         ,    13.3       ,    13.5       ,    13.6    
batchverify_schnorrsigs_17         ,    13.5       ,    13.5       ,    13.5    
batchverify_schnorrsigs_21         ,    13.4       ,    13.4       ,    13.5    
batchverify_schnorrsigs_26         ,    13.3       ,    13.3       ,    13.4    
batchverify_schnorrsigs_32         ,    13.3       ,    13.4       ,    13.4    
batchverify_schnorrsigs_39         ,    13.3       ,    13.3       ,    13.4    
batchverify_schnorrsigs_47         ,    13.2       ,    13.2       ,    13.2    
batchverify_schnorrsigs_57         ,    13.2       ,    13.4       ,    13.5    
batchverify_schnorrsigs_69         ,    13.2       ,    13.3       ,    13.4    
batchverify_schnorrsigs_83         ,    13.3       ,    13.3       ,    13.4    
batchverify_schnorrsigs_100        ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_121        ,    13.2       ,    13.3       ,    13.5    
batchverify_schnorrsigs_146        ,    13.4       ,    13.5       ,    13.5    
batchverify_schnorrsigs_176        ,    13.3       ,    13.4       ,    13.5    
batchverify_schnorrsigs_212        ,    13.2       ,    13.3       ,    13.5    
batchverify_schnorrsigs_255        ,    13.2       ,    13.3       ,    13.4    
batchverify_schnorrsigs_307        ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_369        ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_443        ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_532        ,    13.4       ,    13.5       ,    13.6    
batchverify_schnorrsigs_639        ,    13.5       ,    13.6       ,    13.6    
batchverify_schnorrsigs_767        ,    13.3       ,    13.3       ,    13.4    
batchverify_schnorrsigs_921        ,    13.3       ,    13.4       ,    13.4    
batchverify_schnorrsigs_1106       ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_1328       ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_1594       ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_1913       ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_2296       ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_2756       ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_3308       ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_3970       ,    13.3       ,    13.6       ,    13.8    
batchverify_schnorrsigs_4765       ,    13.3       ,    13.3       ,    13.4    
batchverify_schnorrsigs_5719       ,    13.3       ,    13.4       ,    13.7    
batchverify_schnorrsigs_6863       ,    13.4       ,    13.5       ,    13.7    
batchverify_schnorrsigs_8236       ,    13.3       ,    13.3       ,    13.4    
batchverify_schnorrsigs_9884       ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_11861      ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_14234      ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_17081      ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_20498      ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_24598      ,    13.2       ,    13.2       ,    13.3    
batchverify_schnorrsigs_29518      ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_35422      ,    13.2       ,    13.2       ,    13.3    
batchverify_schnorrsigs_42507      ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_51009      ,    13.2       ,    13.2       ,    13.3    
batchverify_schnorrsigs_61211      ,    13.2       ,    13.2       ,    13.2    
batchverify_schnorrsigs_73454      ,    13.2       ,    13.2       ,    13.2    
batchverify_schnorrsigs_88145      ,    13.2       ,    13.2       ,    13.3    
batchverify_schnorrsigs_105775     ,    13.2       ,    13.2       ,    13.2    
batchverify_schnorrsigs_126931     ,    13.2       ,    13.2       ,    13.3    
batchverify_schnorrsigs_152318     ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_182782     ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_219339     ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_263207     ,    13.2       ,    13.2       ,    13.3    
batchverify_schnorrsigs_315849     ,    13.2       ,    13.3       ,    13.3    
batchverify_schnorrsigs_379019     ,    13.1       ,    13.2       ,    13.3    
batchverify_schnorrsigs_454823     ,    13.2       ,    13.2       ,    13.3    
Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    

tweak_add_check                    ,    11.4       ,    11.5       ,    11.6    
batchverify_tweak_checks_1         ,    12.2       ,    12.2       ,    12.2    
batchverify_tweak_checks_2         ,    10.2       ,    10.2       ,    10.2    
batchverify_tweak_checks_3         ,     9.40      ,     9.45      ,     9.48   
batchverify_tweak_checks_4         ,     9.01      ,     9.03      ,     9.05   
batchverify_tweak_checks_5         ,     8.76      ,     8.81      ,     8.84   
batchverify_tweak_checks_7         ,     8.52      ,     8.55      ,     8.58   
batchverify_tweak_checks_9         ,     8.36      ,     8.39      ,     8.40   
batchverify_tweak_checks_11        ,     8.24      ,     8.27      ,     8.29   
batchverify_tweak_checks_14        ,     8.15      ,     8.18      ,     8.21   
batchverify_tweak_checks_17        ,     8.11      ,     8.12      ,     8.14   
batchverify_tweak_checks_21        ,     8.02      ,     8.05      ,     8.08   
batchverify_tweak_checks_26        ,     7.99      ,     8.00      ,     8.00   
batchverify_tweak_checks_32        ,     7.97      ,     8.01      ,     8.07   
batchverify_tweak_checks_39        ,     7.91      ,     7.92      ,     7.94   
batchverify_tweak_checks_47        ,     7.86      ,     7.91      ,     7.95   
batchverify_tweak_checks_57        ,     7.93      ,     7.94      ,     7.95   
batchverify_tweak_checks_69        ,     7.89      ,     7.92      ,     7.94   
batchverify_tweak_checks_83        ,     7.85      ,     7.88      ,     7.90   
batchverify_tweak_checks_100       ,     7.85      ,     7.89      ,     7.91   
batchverify_tweak_checks_121       ,     7.93      ,     7.95      ,     7.98   
batchverify_tweak_checks_146       ,     7.87      ,     7.92      ,     7.95   
batchverify_tweak_checks_176       ,     7.91      ,     7.92      ,     7.93   
batchverify_tweak_checks_212       ,     7.85      ,     7.89      ,     7.90   
batchverify_tweak_checks_255       ,     7.89      ,     7.91      ,     7.93   
batchverify_tweak_checks_307       ,     7.84      ,     7.88      ,     7.90   
batchverify_tweak_checks_369       ,     7.86      ,     7.89      ,     7.91   
batchverify_tweak_checks_443       ,     7.92      ,     7.93      ,     7.93   
batchverify_tweak_checks_532       ,     7.91      ,     7.91      ,     7.92   
batchverify_tweak_checks_639       ,     7.87      ,     7.89      ,     7.91   
batchverify_tweak_checks_767       ,     7.90      ,     7.90      ,     7.90   
batchverify_tweak_checks_921       ,     7.89      ,     7.90      ,     7.90   
batchverify_tweak_checks_1106      ,     7.86      ,     7.88      ,     7.89   
batchverify_tweak_checks_1328      ,     7.85      ,     7.88      ,     7.91   
batchverify_tweak_checks_1594      ,     7.84      ,     7.88      ,     7.92   
batchverify_tweak_checks_1913      ,     7.90      ,     7.91      ,     7.92   
batchverify_tweak_checks_2296      ,     7.82      ,     7.89      ,     8.00   
batchverify_tweak_checks_2756      ,     7.88      ,     7.91      ,     7.93   
batchverify_tweak_checks_3308      ,     7.93      ,     7.94      ,     7.97   
batchverify_tweak_checks_3970      ,     7.91      ,     7.92      ,     7.92   
batchverify_tweak_checks_4765      ,     7.86      ,     7.91      ,     7.96   
batchverify_tweak_checks_5719      ,     7.94      ,     7.99      ,     8.02   
batchverify_tweak_checks_6863      ,     7.86      ,     7.90      ,     7.94   
batchverify_tweak_checks_8236      ,     7.93      ,     7.93      ,     7.93   
