Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    

schnorrsig_sign                    ,     7.70      ,     7.72      ,     7.73   
schnorrsig_verify                  ,    15.4       ,    15.5       ,    15.6    
batchverify_schnorrsigs_1          ,    18.3       ,    18.3       ,    18.4    
batchverify_schnorrsigs_2          ,    15.8       ,    15.9       ,    15.9    
batchverify_schnorrsigs_3          ,    14.8       ,    14.8       ,    14.8    
batchverify_schnorrsigs_4          ,    14.7       ,    14.7       ,    14.8    
batchverify_schnorrsigs_5          ,    14.4       ,    14.4       ,    14.5    
batchverify_schnorrsigs_7          ,    14.1       ,    14.1       ,    14.1    
batchverify_schnorrsigs_9          ,    14.0       ,    14.0       ,    14.0    
batchverify_schnorrsigs_11         ,    13.8       ,    13.9       ,    13.9    
batchverify_schnorrsigs_14         ,    13.7       ,    13.7       ,    13.7    
batchverify_schnorrsigs_17         ,    13.7       ,    13.7       ,    13.7    
batchverify_schnorrsigs_21         ,    13.6       ,    13.6       ,    13.7    
batchverify_schnorrsigs_26         ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_32         ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_39         ,    13.5       ,    13.6       ,    13.6    
batchverify_schnorrsigs_47         ,    13.5       ,    13.5       ,    13.5    
batchverify_schnorrsigs_57         ,    13.6       ,    13.7       ,    13.7    
batchverify_schnorrsigs_69         ,    13.5       ,    13.5       ,    13.6    
batchverify_schnorrsigs_83         ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_100        ,    13.5       ,    13.5       ,    13.6    
batchverify_schnorrsigs_121        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_146        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_176        ,    13.6       ,    13.6       ,    13.7    
batchverify_schnorrsigs_212        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_255        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_307        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_369        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_443        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_532        ,    13.6       ,    13.6       ,    13.7    
batchverify_schnorrsigs_639        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_767        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_921        ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_1106       ,    13.5       ,    13.5       ,    13.5    
batchverify_schnorrsigs_1328       ,    13.5       ,    13.6       ,    13.6    
batchverify_schnorrsigs_1594       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_1913       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_2296       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_2756       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_3308       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_3970       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_4765       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_5719       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_6863       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_8236       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_9884       ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_11861      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_14234      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_17081      ,    13.5       ,    13.5       ,    13.6    
batchverify_schnorrsigs_20498      ,    13.6       ,    13.7       ,    13.7    
batchverify_schnorrsigs_24598      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_29518      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_35422      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_42507      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_51009      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_61211      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_73454      ,    13.6       ,    13.6       ,    13.6    
batchverify_schnorrsigs_88145      ,    13.6       ,    13.6       ,    13.6    
Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    

tweak_add_check                    ,    11.7       ,    11.8       ,    11.8    
batchverify_tweak_checks_1         ,    12.5       ,    12.5       ,    12.5    
