File Name,Logging Time (seconds),Num Disconnections,Avg Num Peers,Min Num Peers,Max Num Peers,Avg Connection Time (seconds),Min Connection Time (seconds),Max Connection Time (seconds),Raw Connection Time Dictionary,
GetMsgInfoLog_peersinfo_2hrs_20191211.csv,7503,0,7.968945755031321,1,8,7473.875,7457,7503,"{'81.200.57.21:8333': 7503, '158.69.180.187:8333': 7480, '135.23.236.6:8333': 7479, '95.217.33.242:8333': 7473, '149.248.57.161:8333': 7472, '119.171.134.87:8333': 7464, '67.160.203.225:8333': 7463, '85.214.38.87:8333': 7457}",
GetMsgInfoLog_peersinfo_32hrs_20191214.csv,118199,5,7.997774938874271,1,8,72717.61538461539,15039,118176,"{'81.200.57.21:8333': 103154, '158.69.180.187:8333': 118176, '135.23.236.6:8333': 66403, '95.217.33.242:8333': 90023, '149.248.57.161:8333': 118168, '119.171.134.87:8333': 47804, '67.160.203.225:8333': 69369, '85.214.38.87:8333': 118153, '88.198.16.8:8333': 70345, '103.75.3.67:8333': 51772, '83.83.155.43:8333': 48789, '81.82.196.63:8333': 28134, '116.203.61.61:8333': 15039}",
GetMsgInfoLog__23.5hrs_20191215.csv,84304,4,7.9981376921617,1,8,56189.583333333336,1,84303,"{'95.183.48.62:8333': 1, '195.202.169.149:8333': 84303, '213.174.156.85:8333': 84301, '128.2.57.41:8333': 84300, '167.99.190.7:8333': 2, '115.68.109.9:8333': 1, '170.254.60.9:8333': 84296, '13.229.133.213:8333': 4474, '94.130.160.124:8333': 84295, '199.192.20.201:8333': 84242, '108.61.81.53:8333': 84238, '47.135.106.169:8333': 79822}",
Sample 1 numConnections 1.csv,3000,1,1.0,1,1,1500.0,4,2996,"{'102.182.126.78:8333': 4, '5.9.65.46:8333': 2996}",
Sample 10 numConnections 10.csv,3000,7,10.0,10,10,1764.7058823529412,1,3000,"{'54.254.183.101:8333': 3000, '185.230.81.96:8333': 3000, '3.135.219.81:8333': 1232, '13.59.142.110:8333': 1276, '167.99.133.10:8333': 3000, '198.211.109.72:8333': 60, '121.18.238.39:8333': 3000, '69.64.51.41:8333': 3000, '111.90.145.106:8333': 60, '185.107.80.8:8333': 3000, '88.86.125.50:8333': 2940, '103.75.2.197:8333': 2885, '13.79.6.157:8333': 1768, '73.38.249.5:8333': 35, '217.182.172.114:8333': 1689, '95.217.6.169:8333': 1, '91.121.181.140:8333': 54}",
Sample 100 numConnections 10.csv,3000,1,10.0,10,10,2727.2727272727275,185,3000,"{'147.135.252.43:8333': 3000, '72.250.208.210:8333': 3000, '34.221.99.196:8333': 2815, '89.217.85.148:8333': 3000, '211.63.212.19:8333': 3000, '13.71.136.69:8333': 3000, '98.25.193.114:8333': 3000, '188.165.193.113:8333': 3000, '23.233.9.151:8333': 3000, '93.189.145.169:8333': 3000, '94.19.7.55:8333': 185}",
Sample 101 numConnections 1.csv,3000,2,1.0,1,1,1000.0,142,1446,"{'198.211.109.72:8333': 1446, '159.69.10.112:8333': 1412, '144.76.44.186:8333': 142}",
Sample 102 numConnections 2.csv,3000,0,2.0,2,2,3000.0,3000,3000,"{'109.109.36.19:8333': 3000, '88.86.116.138:8333': 3000}",
Sample 103 numConnections 3.csv,3000,0,3.0,3,3,3000.0,3000,3000,"{'185.230.81.96:8333': 3000, '99.145.162.15:8333': 3000, '217.21.24.146:8333': 3000}",
Sample 104 numConnections 4.csv,3000,1,4.0,4,4,2400.0,1,3000,"{'69.70.17.210:8333': 3000, '176.9.145.206:8333': 3000, '91.121.79.112:8333': 1, '198.100.146.191:8333': 3000, '91.216.149.28:8333': 2999}",
Sample 105 numConnections 5.csv,3001,6,5.000333222259247,5,6,1250.5,1,3000,"{'85.25.255.147:8333': 3000, '81.207.242.196:8333': 3000, '37.187.118.150:8333': 3000, '149.56.21.37:8333': 598, '46.146.248.89:8333': 3000, '109.238.81.82:8333': 2402, '47.93.247.22:8333': 1, '66.240.237.155:8333': 1, '129.13.189.205:8333': 1, '203.151.166.124:8333': 1, '66.183.247.34:8333': 1, '103.71.170.141:8333': 1}",
Sample 106 numConnections 6.csv,3000,3,6.0,6,6,2000.0,1,3000,"{'35.236.106.168:8333': 3000, '211.251.250.7:8333': 3000, '194.118.172.29:8333': 3000, '37.221.198.57:8333': 3000, '176.9.139.150:8333': 3000, '35.212.168.144:8333': 32, '46.28.205.68:8333': 1, '116.202.97.107:8333': 1347, '167.99.195.45:8333': 1620}",
Sample 107 numConnections 7.csv,3000,0,7.0,7,7,3000.0,3000,3000,"{'51.15.84.61:8333': 3000, '79.101.1.25:8333': 3000, '85.208.70.249:8333': 3000, '77.247.178.104:8333': 3000, '95.216.36.239:8333': 3000, '88.210.51.37:8333': 3000, '104.198.87.67:8333': 3000}",
